year,flow_wtr,flow_sum,NPGO,Hrel
1978,362.5,78.44,-0.75,340416
1979,594.7,66.26,-0.22,274090
1980,792.9,76.46,-0.69,216537
1981,538,106.19,-0.09,300942
1982,407.8,135.35,0.62,241931
1983,410.6,119.5,-0.39,256238
1984,1107.2,89.48,-0.73,319220
1985,419.1,95.43,0.43,125280
1986,617.3,91.18,1.32,229013
1987,458.7,80.99,0.61,217948
1988,535.2,95.99,-0.2,226771
1989,843.8,91.46,-0.5,205732
1990,1415.8,114.68,-1.09,154815
1991,540.9,171.03,-1.9,375642
1992,354,94.58,-1.21,377991
1993,322.8,87.5,-1.04,379290
1994,385.1,105.34,-0.97,314095
1995,1387.5,103.36,-0.66,328461
1996,433.2,126.58,0.54,583720
1997,662.6,188.87,1.52,445434
1998,382.3,103.92,1.89,463027
1999,841,157.16,2.08,463460
2000,278.1,106.47,1.47,421213
2001,467.2,78.15,0.96,513330
2002,645.6,153.76,0.21,529821
2003,1209.1,115.25,-1.38,466100
2004,580.5,115.53,-0.56,517000
2005,659.8,77.02,0.59,511560
2006,1067.5,106.47,1.46,235010
2007,750.4,133.37,0.74,174000
2008,424.8,101.37,1.37,231500
2009,501.2,109.3,0.86,240000
2010,458.7,111.85,1.48,226050
2011,555,138.75,0.35,235000
2012,416.3,174.43,-0.25,0
2013,339.8,122.89,-1.39,0
2014,747.6,153.19,-0.19,0
2015,557.8,91.18,-0.86,0
